level_0,Symbols,Close,High,Low,Open,Volume
18/02/2021,PBPB,4.8,4.84,4.66,4.78,89393
18/02/2021,SBUX,104.97,105.34,103.41,103.775,4098865
18/02/2021,CMG,1456.31,1466.04,1444,1448.16,174431
18/02/2021,WEN,20.737,20.881,20.14,20.259,2109685
18/02/2021,DPZ,376.15,377.91,373.48,374.68,304709
19/02/2021,PBPB,5.11,5.17,4.78,4.78,309339
19/02/2021,SBUX,103.37,105.28,103.22,104.75,4129146
19/02/2021,CMG,1473.09,1483.77,1457.0101,1468.6,244087
19/02/2021,WEN,20.568,20.816,20.448,20.777,1697005
19/02/2021,DPZ,370.49,377.25,370.03,377.09,502476
22/02/2021,PBPB,5.31,5.48,5.09,5.13,183278
22/02/2021,SBUX,101.81,102.99,101.75,102.99,5211754
22/02/2021,CMG,1430.54,1460.13,1429.17,1457.4,292928
22/02/2021,WEN,20.209,20.513,20.159,20.508,2951685
22/02/2021,DPZ,364.2,371.01,360.24,370.03,770898
23/02/2021,PBPB,4.9,4.9,4.795,4.9,148060
23/02/2021,SBUX,101.37,101.37,99.93,101.37,8738371
23/02/2021,CMG,1416.24,1422.99,1350,1410.81,376400
23/02/2021,WEN,20.12,20.368,19.96,20.199,2237201
23/02/2021,DPZ,365.78,368.06,357.42,363.05,640812
24/02/2021,PBPB,5.19,5.24,4.93,5.02,77051
24/02/2021,SBUX,104.38,104.51,100.6,101.16,7542690
24/02/2021,CMG,1449.06,1450.82,1398.9,1417.73,264591
24/02/2021,WEN,20.344,20.508,19.96,20.179,3566388
24/02/2021,DPZ,363.63,367.5,359.07,366.39,626456
25/02/2021,PBPB,5.04,5.27,4.91,5.24,206944
25/02/2021,SBUX,103.47,105.77,103.11,104,7534020
25/02/2021,CMG,1410.74,1447.96,1395.285,1446.75,236158
25/02/2021,WEN,19.97,20.423,19.901,20.408,2892379
25/02/2021,DPZ,338.11,343.28,330.35,339.11,2635559
26/02/2021,PBPB,4.99,5.19,4.9217,5.1,158681
26/02/2021,SBUX,108.03,109.48,103.68,104.15,15122850
26/02/2021,CMG,1442,1460.04,1411.85,1429.43,443577
26/02/2021,WEN,20.339,20.508,20.03,20.04,2894649
26/02/2021,DPZ,345.6,347.73,336.22,338.37,1344145
01/03/2021,PBPB,5.28,5.33,5,5.1,117415
01/03/2021,SBUX,106.87,110.47,106.54,108.6,7931631
01/03/2021,CMG,1484.95,1489.99,1444.83,1444.83,281363
01/03/2021,WEN,21.185,21.478,20.587,20.797,4018417
01/03/2021,DPZ,344.15,348.68,343.61,348.64,1160769
02/03/2021,PBPB,5.63,5.63,5.19,5.25,184649
02/03/2021,SBUX,107.2,108.2499,105.82,107.31,5016782
02/03/2021,CMG,1475.57,1506,1472.34,1493.41,258013
02/03/2021,WEN,21.205,21.324,20.906,21.235,5335095
02/03/2021,DPZ,342.11,346.59,340.05,344.66,593776
03/03/2021,PBPB,5.73,5.92,5.475,5.475,155289
03/03/2021,SBUX,106.22,107.96,106.12,106.94,5313426
03/03/2021,CMG,1408.22,1477.625,1405.39,1466.77,300586
03/03/2021,WEN,20.03,20.667,19.821,20.326,7533927
03/03/2021,DPZ,331.86,341.74,331.41,340.09,804298
04/03/2021,PBPB,5.75,5.76,5.25,5.73,199232
04/03/2021,SBUX,104.89,107.17,103.85,106.26,7211833
04/03/2021,CMG,1351.12,1408.295,1322.4,1402.71,507207
04/03/2021,WEN,19.38,20.4,19.07,20.4,5279441
04/03/2021,DPZ,329.66,338.03,325.8,332.06,770478
05/03/2021,PBPB,5.66,5.88,5.515,5.85,145065
05/03/2021,SBUX,105.2,106.06,102.75,106.06,5559905
05/03/2021,CMG,1332.28,1358.85,1256.265,1358.85,535337
05/03/2021,WEN,19.66,19.69,18.86,19.4,4736261
05/03/2021,DPZ,329.37,330.52,318.87,329.32,738079
08/03/2021,PBPB,5.67,5.91,5.5,5.66,117313
08/03/2021,SBUX,105.03,106.89,104.23,104.8,5119532
08/03/2021,CMG,1335,1361.89,1306.24,1332,333635
08/03/2021,WEN,20.71,20.845,19.73,19.73,11323252
08/03/2021,DPZ,332.64,335.72,324.78,329.13,993785
09/03/2021,PBPB,5.48,5.675,5.43,5.6,232143
09/03/2021,SBUX,106.55,107.97,105.83,106.28,5510948
09/03/2021,CMG,1427.61,1433.96,1369.97,1372.9,529260
09/03/2021,WEN,20.12,21.25,20.08,21.18,8094996
09/03/2021,DPZ,353.15,353.68,336.2,338.47,1408823
10/03/2021,PBPB,5.6,5.71,5.35,5.55,257472
10/03/2021,SBUX,107.78,109.07,106.96,107.22,6076974
10/03/2021,CMG,1416.67,1453.44,1404.46,1429.9,289845
10/03/2021,WEN,20.47,20.65,20.2,20.36,3701063
10/03/2021,DPZ,356.99,359.79,351.54,355.69,1586235
11/03/2021,PBPB,5.69,5.89,5.55,5.7,363561
11/03/2021,SBUX,107.32,108.57,107.26,108.41,4670732
11/03/2021,CMG,1462.06,1468.43,1436.315,1439.99,327479
11/03/2021,WEN,20.27,20.51,20.06,20.46,3433203
11/03/2021,DPZ,357.43,361.5,354.16,357.81,993194
12/03/2021,PBPB,5.8,6.2,5.57,5.74,902669
12/03/2021,SBUX,107.81,107.99,106.58,107.42,3356023
12/03/2021,CMG,1453.24,1458.56,1432,1448.8,209897
12/03/2021,WEN,20.51,20.64,20.16,20.27,3032581
12/03/2021,DPZ,361.11,361.63,353.23,353.73,683140
15/03/2021,PBPB,6.82,6.95,5.78,5.78,572928
15/03/2021,SBUX,108.9,108.95,107.06,107.89,7111401
15/03/2021,CMG,1485.61,1491.38,1449.09,1457,199138
15/03/2021,WEN,21.54,21.56,20.6,20.67,3337698
15/03/2021,DPZ,362.97,363.17,357.5,361.75,759836
16/03/2021,PBPB,6.72,6.88,6.53,6.68,262875
16/03/2021,SBUX,111.34,112.34,109.89,110.568,11376177
16/03/2021,CMG,1482.69,1511,1473.0291,1478,211959
16/03/2021,WEN,20.69,21.51,20.68,21.39,2179929
16/03/2021,DPZ,366.01,367.62,362.34,365.07,688022
